# https://explorer.acinq.co/nodes and whois results
# Lightning Nodes
IP Address|Port|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
0.0.0.0|9735|NA|NA||other||NA
0:0:0:0:0:0:0:0|9735
10.0.0.9|80|NA|NA||other||NA
10.0.1.149|9735|NA|NA||other||NA
10.1.4.107|9735|NA|NA||other||NA
100.119.127.89|9735|NA|NA||other||NA
100.2.79.73|9735|701|100.2.0.0/16|US|arin|2010-12-28|UUNET, US
100.25.218.145|9735|14618|100.24.0.0/13|US|arin|2018-01-10|AMAZON-AES, US
100.27.40.6|9735|14618|100.24.0.0/13|US|arin|2018-01-10|AMAZON-AES, US
100.33.71.189|9735|701|100.33.0.0/16|US|arin|2010-12-28|UUNET, US
100.36.229.220|9735|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
100.37.244.187|9735|701|100.37.0.0/16|US|arin|2010-12-28|UUNET, US
100.37.52.87|9735|701|100.37.0.0/16|US|arin|2010-12-28|UUNET, US
100.64.46.81|9735|NA|NA||other||NA
100.65.25.42|9735|NA|NA||other||NA
100.69.6.202|9735|NA|NA||other||NA
100.7.251.247|9735|701|100.7.0.0/16|US|arin|2010-12-28|UUNET, US
100.90.50.33|9735|NA|NA||other||NA
100.96.0.139|9735|NA|NA||other||NA
100.99.8.64|9735|NA|NA||other||NA
101.100.163.118|9735|56300|101.100.163.0/24|SG|apnic|2010-12-22|MYREPUBLIC-SG MyRepublic Ltd., SG
101.100.174.24|9735|56300|101.100.174.0/24|SG|apnic|2010-12-22|MYREPUBLIC-SG MyRepublic Ltd., SG
101.109.247.142|9735|23969|101.109.224.0/19|TH|apnic|2010-12-13|TOT-NET TOT Public Company Limited, TH
101.112.230.87|9735|133612|101.112.224.0/19|AU|apnic|2010-12-14|VODAFONE-AS-AP Vodafone Australia Pty Ltd, AU
101.160.136.195|9735|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.51.159.202|9735|23969|101.51.152.0/21|TH|apnic|2010-12-13|TOT-NET TOT Public Company Limited, TH
102.132.245.16|9735|37680|102.132.240.0/20|ZA|afrinic|2018-07-04|COOL-IDEAS, ZA
103.231.42.36|9735|18229|103.231.42.0/24|IN|apnic|2014-05-08|CTRLS-AS-IN CtrlS Datacenters Ltd., IN
103.72.146.33|9735|135377|103.72.146.0/24|SG|apnic|2016-08-18|UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK
103.99.168.100|9735|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.168.130|9735|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.168.140|9735|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.170.201|9735|54415|103.99.170.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.170.202|9735|54415|103.99.170.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.170.203|9735|54415|103.99.170.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.170.204|9735|54415|103.99.170.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.170.205|9735|54415|103.99.170.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.170.206|9735|54415|103.99.170.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.171.201|9735|54415|103.99.171.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.171.202|9735|54415|103.99.171.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.171.203|9735|54415|103.99.171.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.171.204|9735|54415|103.99.171.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.171.205|9735|54415|103.99.171.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.171.206|9735|54415|103.99.171.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
104.131.115.95|9735|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.77.55|6666|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.137.24.27|9735|33363|104.137.0.0/18|US|arin|2014-06-04|BHN-33363, US
104.148.155.253|9735|6128|104.148.128.0/17|US|arin|2014-07-15|CABLE-NET-1, US
104.152.222.6|33500
104.192.7.136|9735|8560|104.192.4.0/22|US|arin|2014-08-20|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE
104.196.200.39|9735|396982|104.196.192.0/20|US|arin|2014-08-27|GOOGLE-CLOUD-PLATFORM, US
104.196.249.140|9735|396982|104.196.240.0/20|US|arin|2014-08-27|GOOGLE-CLOUD-PLATFORM, US
104.196.31.122|9735|396982|104.196.16.0/20|US|arin|2014-08-27|GOOGLE-CLOUD-PLATFORM, US
104.21.1.8|9735|13335|104.21.0.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.21.74|9735|13335|104.21.16.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.31.81|9735|13335|104.21.16.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.36.127|9735|13335|104.21.32.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.60.50|9735|13335|104.21.48.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.70.22|9735|13335|104.21.64.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.86.143|9735|13335|104.21.80.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.88.214|9735|13335|104.21.80.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.96.153|9735|13335|104.21.96.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.22.23.94|9735|13335|104.22.16.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.223.94.251|9735|8100|104.223.88.0/21|US|arin|2014-10-02|ASN-QUADRANET-GLOBAL, US
104.236.54.112|9735|14061|104.236.0.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
104.238.192.74|9735|399291|104.238.192.0/24|PR|arin|2020-11-18|FIBERNETPR-ASN, PR
104.248.136.82|9734|14061|104.248.128.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
104.248.86.130|9735
104.25.246.4|9735|13335|104.25.240.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.251.255.120|9735|26827|104.251.240.0/20|US|arin|2014-12-31|EPBTELECOM, US
104.27.179.126|8080|13335|104.16.0.0/12|US|arin|2014-03-28|CLOUDFLARENET, US
104.31.89.249|9735|13335|104.16.0.0/12|US|arin|2014-03-28|CLOUDFLARENET, US
104.54.224.54|9735|7018|104.48.0.0/12|US|arin|2014-05-06|ATT-INTERNET4, US
104.60.247.230|9735|7018|104.48.0.0/12|US|arin|2014-05-06|ATT-INTERNET4, US
104.62.47.181|9735
105.112.183.234|9735|36873|105.112.183.0/24|NG|afrinic|2013-09-20|VNL1-AS, NG
105.112.60.194|9735|36873|105.112.60.0/24|NG|afrinic|2013-09-20|VNL1-AS, NG
105.226.182.204|9735|37457|105.226.0.0/16|ZA|afrinic|2012-11-16|Telkom-Internet, ZA
106.163.158.127|9735|2516|106.163.0.0/16|JP|apnic|2011-03-15|KDDI KDDI CORPORATION, JP
107.13.231.96|9735|11426|107.13.128.0/17|US|arin|2010-09-23|TWC-11426-CAROLINAS, US
107.173.166.43|9735|36352|107.173.166.0/23|US|arin|2013-12-27|AS-COLOCROSSING, US
107.191.45.142|9735
107.193.217.39|9735|7018|107.192.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
107.20.83.67|9735|14618|107.20.0.0/16|US|arin|2011-05-03|AMAZON-AES, US
107.3.180.26|9735|7922|107.0.0.0/14|US|arin|2010-06-29|COMCAST-7922, US
108.136.185.66|9735
108.14.65.29|9735|701|108.14.0.0/16|US|arin|2009-06-05|UUNET, US
108.172.130.160|9735|852|108.172.0.0/16|CA|arin|2012-02-01|TELUS Communications, CA
108.20.186.210|9735|701|108.20.0.0/16|US|arin|2009-06-05|UUNET, US
108.203.59.40|9735|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.255.196.84|9735|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.45.74.141|9735|701|108.45.0.0/16|US|arin|2009-06-05|UUNET, US
108.46.246.213|9735|701|108.46.0.0/16|US|arin|2009-06-05|UUNET, US
